Service,Type,Category,Price,Schedule,Location,Appointment staff,Course status,Connected plans,Resources
Online/Phone Consultation Session,APPOINTMENT,Start here,💰 From CAD 100,,📍 Flexible,"1
Staff",,,
Teen Behavioral Coaching,APPOINTMENT,Youth,💰 From CAD 180,,📍 Flexible,"1
Staff",,,
Social Confidence & Friendship Skills,APPOINTMENT,Youth,💰 From CAD 180,,📍 Flexible,"1
Staff",,,
Under 18 Counseling Session,APPOINTMENT,Youth,💰 From CAD 180,,📍 Flexible,"1
Staff",,,
Supporting Children Through Change,APPOINTMENT,Youth,💰 From CAD 180,,📍 Flexible,"1
Staff",,,
Cognitive Behavioral Therapy Session,APPOINTMENT,Youth,💰 From CAD 180,,📍 Flexible,"1
Staff",,,
Bullying Support & Intervention,APPOINTMENT,Youth,💰 From CAD 180,,📍 Flexible,"1
Staff",,,
Managing Big Emotions With Confidence,APPOINTMENT,Youth,💰 From CAD 180,,📍 Flexible,"1
Staff",,,
Family Relationship Strengthening,APPOINTMENT,Families,💰 From CAD 180,,📍 Flexible,"1
Staff",,,
Parenting Coaching Session,APPOINTMENT,Families,💰 From CAD 180,,📍 Flexible,"1
Staff",,,
Tackling Child Tantrums,APPOINTMENT,Families,💰 From CAD 180,,📍 Flexible,"1
Staff",,,
Parental Stress & Emotional Well-Being,APPOINTMENT,Families,💰 From CAD 180,,📍 Flexible,"1
Staff",,,
Anxiety Counseling,APPOINTMENT,Adults,💰 From CAD 180,,📍 Flexible,"1
Staff",,,
Anger Management Coaching,APPOINTMENT,Adults,💰 From CAD 180,,📍 Flexible,"1
Staff",,,
University Student & Young Adult Session,APPOINTMENT,Adults,💰 From CAD 120,,📍 Flexible,"1
Staff",,,
ADHD / ADD Executive Function Coaching,APPOINTMENT,Adults,💰 From CAD 180,,📍 Flexible,"1
Staff",,,
Lifestyle Coaching with Mama Hala,APPOINTMENT,Adults,💰 From CAD 180,,📍 Flexible,"1
Staff",,,
Life Coaching Session,APPOINTMENT,Adults,💰 From CAD 180,,📍 Flexible,"1
Staff",,,
Self-Development Coaching Sessions,APPOINTMENT,Adults,💰 From CAD 180,,📍 Flexible,"1
Staff",,,
Pre-Marital Education Program,APPOINTMENT,Couples,💰 From CAD 180,,📍 Flexible,"1
Staff",,,
Couples Counseling,APPOINTMENT,Couples,💰 From CAD 180,,📍 Flexible,"1
Staff",,,
Horticultural / Plant Therapy Sessions,APPOINTMENT,Experiential,💰 From CAD 180,,📍 Flexible,"1
Staff",,,
Walk & Talk Session,APPOINTMENT,Experiential,💰 From CAD 180,,📍 Flexible,"1
Staff",,,
